Date,VFINX,VBMFX,VIX.chg,VIX.ret,SPX_SMA,VFINX_SKW,VBMFX_SKW,VIX_SKW
1992/7/31,0.0404355,0.0191388,0.99,0.054395601,59.40453805,0.14726966,-0.361634426,1.61141306
1992/8/31,-0.0206776,0.00981,1.180001,0.074542072,42.44681727,0.2030451,-0.383035605,1.611590554
1992/9/30,0.0116948,0.0126195,1.36,0.084002465,42.07681018,0.234684578,-0.484301026,1.619356046
1992/10/31,0.003287,-0.0121958,2.219999,0.146148716,38.07227673,0.197648621,-0.537941917,1.608441585
1992/11/30,0.0340222,-0.0002316,0.66,0.031398668,49.12228482,0.083761358,-0.564753187,1.583006655
1992/12/31,0.0121166,0.01476,0.85,0.049047894,50.60499182,0.041653858,-0.561918155,1.754198421
1993/1/31,0.0080547,0.0178587,1.35,0.10546875,50.39408014,0.015373417,-0.574556896,1.960254629
1993/2/28,0.0135593,0.0196496,3.38,0.229619565,52.69593405,0.496661676,-0.62128538,2.004543087
1993/3/31,0.0210749,0.0036723,2.139999,0.134591132,59.34951527,0.608042103,-0.584245484,1.961525961
1993/4/30,-0.024241,0.0074481,1.89,0.116522819,41.52819241,0.584693255,-0.520172323,1.933571575
1993/5/31,0.0265316,0.0013919,1.2,0.078688525,51.03773514,0.653439108,-0.431423741,1.95276083
1993/6/30,0.0026738,0.0179881,1.21,0.08197832,48.46865991,0.723723212,-0.435493127,1.966992957
1993/7/31,-0.0042403,0.0060959,2.54,0.172320217,41.89633436,0.858039633,-0.38492947,1.880100344
1993/8/31,0.0378519,0.0168817,0.53,0.038211968,57.30453891,0.88347994,-0.447406935,1.836831742
1993/9/30,-0.0079443,0.004,2.699999,0.217917595,47.3363785,0.967141248,-0.418548074,1.647742904
1993/10/31,0.0207852,0.0030464,1.02,0.058959541,54.86318659,0.907725813,-0.352116576,1.676442725
1993/11/30,-0.0099548,-0.0096609,1.52,0.115677321,45.32997255,1.062203777,-0.338748294,1.713322552
1993/12/31,0.0122477,0.0048181,0.97,0.061006289,47.96501141,1.290645057,-0.37921952,1.705364822
1994/1/31,0.0337668,0.0138867,0.91,0.065798988,61.83047255,1.346740582,-0.383084341,1.706028005
1994/2/28,-0.0271463,-0.0178424,4.5,0.357995227,41.77500468,1.352073837,-0.457377128,1.758650951
1994/3/31,-0.0438838,-0.0229536,2.139999,0.13408515,13.98911177,1.133316792,-0.558531842,1.721979217
1994/4/30,0.0129001,-0.0082988,3.42,0.167237156,17.48769855,1.134743972,-0.438139568,1.711876285
1994/5/31,0.0160377,4.21E-05,1.08,0.045245076,23.53772532,1.25724998,-0.380579541,1.685819836
1994/6/30,-0.024468,-0.0018499,2.599999,0.160891027,6.873200909,-0.250316829,-0.546756639,1.562312894
1994/7/31,0.0327673,0.0184452,0.57,0.034090911,21.45906859,-0.363064262,-0.659504201,1.510331858
1994/8/31,0.0407596,0.0014196,0.97,0.065013405,40.29543336,-0.329857639,-0.617274199,1.512292986
1994/9/30,-0.0244602,-0.0144351,1.39,0.108339829,22.87089705,-0.334417091,-0.607115946,1.491427752
1994/10/31,0.0224668,-0.0006789,1.44,0.098901099,32.50316236,-0.334260138,-0.542470475,1.498683991
1994/11/30,-0.0365471,-0.001833,1.17,0.068945201,8.935888182,-0.308443864,-0.470711503,1.505491818
1994/12/31,0.0146138,0.0080437,1.869999,0.101575177,15.16865968,-0.415321678,-0.456417665,1.634455454
1995/1/31,0.025832,0.0189749,1.05,0.05785124,27.73865068,-0.469312291,-0.458448761,1.638735541
1995/2/28,0.0387931,0.021733,1.67,0.117192982,46.75093186,-0.564923207,-0.398843202,1.603820956
1995/3/31,0.0295342,0.0067479,2.05,0.163868905,60.67909968,-0.590318153,-0.372827478,1.477068062
1995/4/30,0.0294118,0.0131111,0.85,0.059774965,74.32362205,-0.653129779,-0.506650017,1.555537903
1995/5/31,0.0395445,0.0395273,0.95,0.07037037,94.08725786,-0.629405146,-0.020319961,1.621781731
1995/6/30,0.0231116,0.0065549,0.77,0.058644326,103.7768248,-0.657950957,0.030125573,1.637387537
1995/7/31,0.0330401,-0.0025482,0.81,0.060223048,119.4682013,-0.700798116,0.147627393,1.642989659
1995/8/31,0.0026495,0.0117503,1.39,0.103039288,114.4500065,-0.656438706,0.170649917,1.927078587
1995/9/30,0.0421149,0.0095015,0.76,0.055152395,136.260914,-0.629640528,0.127002271,1.990753228
1995/10/31,-0.003637,0.0146505,1.21,0.091527988,125.5818395,-0.67639978,0.083161975,2.028174431
1995/11/30,0.0438036,0.0143976,0.56,0.035578145,149.635914,-0.638890161,-0.003122905,1.970990983
1995/12/31,0.0193228,0.0143781,3.11,0.23191648,154.5845227,-0.702872215,0.005089529,1.661883682
1996/1/31,0.0338542,0.0062919,2.1,0.144329897,169.1650004,-0.814011949,0.00361559,1.729112106
1996/2/29,0.0092359,-0.0176158,1.599999,0.097560915,164.3491158,-0.769731942,0.057418542,1.760354315
1996/3/31,0.0097688,-0.0077016,4.210001,0.247065772,159.9545319,-0.847588507,0.114587056,1.719176201
1996/4/30,0.0145623,-0.004903,2.899999,0.140096563,158.7140675,-0.827406966,0.159089494,1.65066942
1996/5/31,0.0254445,-0.0017337,2.550001,0.126112815,166.8400015,-0.967581698,0.14034866,1.633224046
1996/6/30,0.0038291,0.0127443,1.519998,0.081632541,157.3518264,-0.92779184,0.089558588,1.642478049
1996/7/31,-0.0442042,0.0024871,3.15,0.168991425,107.1090695,-0.831852661,0.16209006,1.514203644
1996/8/31,0.0209616,-0.0016356,1.2,0.055684457,112.7649957,-0.995899194,0.225445903,0.859881771
1996/9/30,0.0560623,0.0170177,1.870001,0.099680224,145.5986054,-0.928716053,0.404637601,0.928760037
1996/10/31,0.0275584,0.0220825,1.049999,0.05119449,154.5681904,-0.977017625,0.292528164,1.080003692
1996/11/30,0.0756366,0.0175862,1.32,0.071428571,206.0727428,-0.607474372,0.174976079,1.10749219
1996/12/31,-0.0195853,-0.0085471,1.800001,0.09977832,170.0177498,-0.597123573,0.158493464,1.249849631
1997/1/31,0.0621657,0.0024695,1.379999,0.062755753,212.540444,-0.509983587,0.263820595,1.325263369
1997/2/28,0.0078944,0.0011417,1.75,0.082781461,202.8099758,-0.419985613,0.265308164,1.325836299
1997/3/31,-0.0413572,-0.0097441,2.18,0.101821579,145.24909,-0.525788703,0.344242413,1.339819438
1997/4/30,0.0595558,0.0148857,1.35,0.060975613,188.238589,-0.506732767,0.235969746,1.357288201
1997/5/31,0.0608812,0.0087127,2.619999,0.122774086,234.1586113,-0.526231161,0.172581637,1.27691167
1997/6/30,0.0445364,0.0116427,1.659999,0.076958693,263.7208809,-0.602155216,0.143247159,1.306401002
1997/7/31,0.0796567,0.0280204,1.74,0.079743355,333.5000529,-0.464159547,0.185218159,1.317908471
1997/8/31,-0.0560905,-0.0085329,2.74,0.116546151,241.8868327,-0.562302119,0.291143501,1.319567882
1997/9/30,0.0546897,0.0144838,1.350001,0.054523465,285.369152,-0.583127406,0.232379443,1.500497474
1997/10/31,-0.0335025,0.0144534,7.950001,0.305886918,223.7382059,-0.479435999,0.223470229,1.65268367
1997/11/30,0.0459851,0.0032803,3.7,0.096858636,259.4150144,-0.485236689,-0.22825127,1.643169559
1997/12/31,0.0172497,0.0103785,3.08,0.081395349,259.879949,-0.4689548,-0.258876687,1.657859519
1998/1/31,0.0111025,0.0132012,2.680001,0.088536538,252.4935825,-0.41171499,-0.378008192,1.670051437
1998/2/28,0.0719227,-0.0009538,1.039999,0.036249528,321.7013906,-0.4675003,-0.274384369,1.614931783
1998/3/31,0.0510369,0.003274,2.030001,0.094199587,366.0145485,-0.473706469,-0.220154142,1.62595223
1998/4/30,0.0100773,0.0051041,4.120001,0.167072222,352.591836,-0.5083613,-0.157486343,1.471063811
1998/5/31,-0.0174351,0.0101982,3.08,0.118052894,297.9958547,-0.377226178,-0.138218274,1.515014344
1998/6/30,0.0407157,0.0080769,3.16,0.135100476,326.8663634,-0.42406731,-0.102962792,1.725406856
1998/7/31,-0.0105413,0.0022517,2.76,0.106399379,282.6945165,-0.319558438,-0.066171772,1.81855974
1998/8/31,-0.1447356,0.0189941,7.41,0.293465347,47.18002836,-1.198596305,0.078785041,1.610145804
1998/9/30,0.0641111,0.0196109,5.630001,0.127145464,112.651406,-1.21906261,-0.003536733,1.874604101
1998/10/31,0.0816413,-0.0055417,2.529999,0.055862198,201.2377594,-1.184839333,-0.008509183,1.934101914
1998/11/30,0.0607157,0.0048643,3.92,0.085701789,266.737749,-1.197982044,-0.046176958,1.993674499
1998/12/31,0.0580516,0.0038469,3.59,0.122609285,329.2204648,-1.264587202,0.036577686,1.942047748
1999/1/31,0.042036,0.007926,2.869999,0.091663976,365.4213314,-1.466783734,-0.01353781,2.134500339
1999/2/28,-0.0312447,-0.0176699,2.34,0.070952092,282.893655,-1.323071819,-0.312162999,2.16143719
1999/3/31,0.0399647,0.0056107,2.27,0.072385202,321.7431419,-1.320324583,-0.250571496,2.168328981
1999/4/30,0.0385198,0.004006,2.52,0.086242303,360.2558923,-1.335135956,-0.232963075,2.215152595
1999/5/31,-0.0238905,-0.0083045,3.220001,0.121877403,294.0617957,-1.226898931,-0.126688254,2.171953446
1999/6/30,0.0555602,-0.0054679,1.739999,0.060207578,361.8432115,-1.358829301,-0.113175267,2.154165632
1999/7/31,-0.0313017,-0.0038838,2.720001,0.102178847,277.9877822,-1.204667484,-0.072764335,2.163189468
1999/8/31,-0.004965,-0.0007819,2.799999,0.112089632,242.2344911,-1.172231961,-0.05822075,2.136909986
1999/9/30,-0.0273898,0.0125776,2.649999,0.093145832,170.6936093,-1.203322144,-0.15234805,2.144799515
1999/10/31,0.0632644,0.0033299,3.119999,0.11206893,256.03813,-1.198009649,-0.07150284,2.151607805
1999/11/30,0.0202301,0.000206,2.07,0.072,266.9872495,-1.179814444,0.008392865,2.188988325
1999/12/31,0.0597762,-0.0048033,2.430001,0.100496319,351.5309389,-1.171317606,0.126468782,2.18546941
2000/1/31,-0.0503214,-0.0017364,3.25,0.131260097,229.9781551,-1.050466476,-0.170626761,2.120007935
2000/2/29,-0.0190632,0.0117597,2.83,0.104776009,175.9740989,-1.123024422,-0.28606028,2.139752744
2000/3/31,0.0975992,0.0140314,2.809999,0.108076885,333.0263785,-0.969627393,-0.290331377,2.186709873
2000/4/30,-0.030055,-0.004891,4.090002,0.160581161,249.1491423,-0.976376814,-0.177571379,2.183711964
2000/5/31,-0.0203838,-0.0016369,3.129999,0.093460699,187.4622965,-0.85934277,-0.125657547,2.18607204
2000/6/30,0.02487,0.0214905,1.389999,0.043945591,203.2135952,-0.87229447,0.033863236,2.020460568
2000/7/31,-0.0149087,0.0088033,1.33,0.057700653,144.2631721,-0.814754103,0.049430396,1.959552475
2000/8/31,0.0618994,0.0139834,0.800002,0.037807278,239.3490326,-0.833420678,-0.058996157,1.972607232
2000/9/30,-0.0528941,0.0076029,2.289999,0.11143548,109.4167868,-0.67862964,-0.103287725,1.941118777
2000/10/31,-0.004299,0.0056674,3.94,0.180073134,86.68322736,-0.649624754,-0.109175855,1.893332331
2000/11/30,-0.0787759,0.0158214,2.620001,0.085873517,-73.83312982,-0.606902132,-0.105315633,1.946692104
2000/12/31,0.0050494,0.0178557,4.57,0.154131535,-71.77408677,-0.561145341,-0.104315771,1.871733332
2001/1/31,0.0354505,0.0176004,3.14,0.098928796,-13.38221859,-0.634066187,-0.173073366,1.885060215
2001/2/28,-0.0913774,0.0090873,2.57,0.085695232,-182.6691285,-0.201349393,-0.188234688,0.405038552
2001/3/31,-0.0635631,0.0053854,4.699999,0.165784797,-285.0017756,-0.094964413,-0.203470923,0.459779518
2001/4/30,0.0777062,-0.0046443,3.510002,0.106881912,-153.1795262,-0.10538193,-0.203847035,0.424356364
2001/5/31,0.0064997,0.0073353,1.550001,0.044642885,-138.702753,-0.050541517,-0.228511953,0.355787579
2001/6/30,-0.0244547,0.005249,1.67,0.064778896,-177.1605005,0.06008871,-0.24360961,0.464334608
2001/7/31,-0.0099982,0.0222809,1.770001,0.076391929,-191.2059494,0.14769763,-0.142933779,0.491020342
2001/8/31,-0.0627402,0.011097,2.379999,0.094294731,-284.7594879,0.137201369,0.123445436,0.455026088
2001/9/30,-0.0809097,0.0089484,9.919998,0.390397403,-392.964145,0.204402503,0.086322174,2.796972167
2001/10/31,0.0189504,0.018613,3.77,0.086191125,-340.9459451,0.229687005,0.009885857,2.796958619
2001/11/30,0.0765379,-0.013378,1.909999,0.054092295,-212.2913152,0.150121148,-0.141926869,2.787113194
2001/12/31,0.0087396,-0.0057797,2.399999,0.074280375,-186.2077419,0.200519072,-0.143961467,2.812830194
2002/1/31,-0.0147323,0.0068867,3.210001,0.123890428,-188.3645625,0.176499701,-0.217910656,2.771856023
2002/2/28,-0.0193616,0.0085251,3.75,0.154004107,-199.0809324,0.202106395,-0.305908682,2.651047698
2002/3/31,0.0374323,-0.0146033,0.71,0.027213492,-124.7422094,0.095608839,-0.355411549,2.493505357
2002/4/30,-0.0607463,0.01692,2.109998,0.102926732,-200.9981745,0.211230935,-0.428330229,2.507268606
2002/5/31,-0.0075438,0.0079941,2.369998,0.098544619,-190.9740652,0.263293178,-0.505506038,2.507069221
2002/6/30,-0.0713453,0.0028966,3.390001,0.150266008,-267.0545991,0.370557136,-0.558729073,2.39390434
2002/7/31,-0.0771926,0.0048371,3.879999,0.13652354,-344.973211,0.342354246,-0.622729483,2.380117549
2002/8/31,0.0065259,0.016614,4.920002,0.109528099,-305.5418261,0.293583562,-0.623249069,2.373781641
2002/9/30,-0.1087479,0.0152878,7.330002,0.16259986,-417.1172264,0.116551114,-0.622736196,2.238448714
2002/10/31,0.0878289,-0.0061197,3.18,0.078228778,-288.7490514,0.142113242,-0.623414577,2.381140349
2002/11/30,0.0587517,0.0002439,1.899999,0.044559077,-188.6936143,0.068016212,-0.638430028,2.323849778
2002/12/31,-0.0589273,0.0207052,2.179998,0.069382495,-246.1353979,0.183427977,-0.654465236,2.377043843
2003/1/31,-0.0262477,0.0005154,3.979999,0.129304707,-261.3845267,0.202530612,-0.56729961,2.348874808
2003/2/28,-0.015186,0.0137579,1.739998,0.050158491,-255.4654874,0.266826589,-0.567009135,2.394576567
2003/3/31,0.0095689,-0.0012667,2.230001,0.064957788,-219.368669,0.170773437,-0.480119624,2.396468277
2003/4/30,0.0825348,0.0086766,0.92,0.027372805,-100.9291385,0.172356864,-0.509861675,2.495916794
2003/5/31,0.0526378,0.0182301,2.11,0.072433919,-17.38229623,0.056142235,-0.496139869,2.493838247
2003/6/30,0.0125993,-0.001348,1.440001,0.066697591,8.636807045,0.043992541,-0.384060736,2.643695003
2003/7/31,0.0174406,-0.0333788,1.120001,0.050564379,34.77587327,0.063915927,-1.076159746,2.62783686
2003/8/31,0.0193253,0.0061106,1.41,0.069732941,64.03141659,0.003645258,-1.059563271,2.628580806
2003/9/30,-0.0107146,0.0270649,2.109999,0.093033466,55.69002505,-0.045006671,-0.88350904,2.845986478
2003/10/31,0.056413,-0.0095948,1.120001,0.049295821,141.6472721,-0.085939044,-0.850190452,2.854703111
2003/11/30,0.0086429,0.0027038,1.659999,0.078784955,157.5190426,-0.089736607,-0.814672132,2.893472567
2003/12/31,0.0521989,0.0088274,1.089998,0.055954723,235.736766,-0.185752412,-0.837921111,2.882101618
2004/1/31,0.0182137,0.0086321,1.430001,0.078099458,264.1949902,-0.23571786,-0.89533533,2.881812359
2004/2/29,0.0137746,0.0103111,0.530001,0.02908897,280.3149635,-0.336083394,-0.893309033,2.809333053
2004/3/31,-0.0151348,0.0079639,2.83,0.158365968,248.8236917,-0.346586908,-0.888375708,0.502270428
2004/4/30,-0.0157677,-0.0261438,1.98,0.091751622,212.9786546,-0.278843934,-0.843289579,0.488259485
2004/5/31,0.0135782,-0.0042673,1.640001,0.095017439,219.3386898,-0.312603376,-0.905087154,0.419570001
2004/6/30,0.0192955,0.0055894,1.03,0.051603209,234.3699618,-0.331041317,-1.002562022,0.43920964
2004/7/31,-0.0331088,0.0096263,2.24,0.131532582,157.8809262,-0.298371663,-1.013757789,0.432658571
2004/8/31,0.0038265,0.0194241,2.110001,0.121965383,147.8863303,-0.346751834,-0.981163949,0.410266192
2004/9/30,0.0106711,0.0016116,1.08,0.055842813,151.5549922,-0.315212436,-1.108464482,0.478915053
2004/10/31,0.0151471,0.0084739,1.3,0.087189805,158.0218558,-0.420820616,-1.118804138,0.521547528
2004/11/30,0.0404591,-0.0080524,0.52,0.031363088,202.4204268,-0.493630822,-0.979982676,0.552350922
2004/12/31,0.0339347,0.0091667,0.94,0.057775046,234.8296067,-0.607522114,-1.019042991,0.67214135
2005/1/31,-0.0245432,0.0065438,0.79,0.057790783,166.6768802,-0.553237074,-1.030503585,0.825855273
2005/2/28,0.0209366,-0.0062652,1.96,0.133788396,182.2377376,-0.585924821,-0.920867544,0.794852553
2005/3/31,-0.0176004,-0.0049262,0.76,0.057838661,133.7172911,0.221894801,-0.823373316,0.816386801
2005/4/30,-0.0191194,0.0135473,3.21,0.221532091,85.86226564,0.139537074,-0.939116024,1.431737671
2005/5/31,0.0316746,0.0105335,1.670001,0.094137599,125.0081455,0.119570594,-1.002674082,1.383675791
2005/6/30,0.001272,0.0055243,1.08,0.066176471,112.8704499,0.4741243,-1.063801593,1.386843884
2005/7/31,0.037064,-0.0099292,1.05,0.082677165,160.859547,0.401816125,-0.965615848,1.545897676
2005/8/31,-0.0091324,0.013561,1.26,0.100880705,130.0668054,0.41128192,-0.966494746,1.466001629
2005/9/30,0.0079406,-0.0110019,1.15,0.081157375,130.9504173,0.41640689,-0.883041149,1.441972698
2005/10/31,-0.0167845,-0.0080953,2.610001,0.189267658,91.23136768,0.125747436,-0.759260253,1.347828747
2005/11/30,0.037646,0.004784,0.96,0.0582878,149.3500308,0.055825224,-0.787212308,1.349152324
2005/12/31,0.0002194,0.009907,1.3,0.087542088,140.3626705,0.104193361,-0.851862696,1.321178481
2006/1/31,0.0264532,-0.0010731,2.58,0.211302211,177.2841467,0.075469711,-0.45085937,1.202415626
2006/2/28,0.002628,0.0037433,0.87,0.059752747,168.0585823,0.141875923,-0.431537661,1.201180313
2006/3/31,0.0123064,-0.0099823,0.78,0.057395143,177.6768301,0.074277026,-0.709166461,1.229432401
2006/4/30,0.0133345,-0.0020749,0.81,0.063579278,189.7704967,-0.046361081,-0.77656823,1.242363171
2006/5/31,-0.0289663,-0.0009452,4.4,0.338461538,118.1563997,-0.039841202,-0.737393505,1.819800018
